model_name,sku,wishlistCount,qty,wishlist/stock
VC E16655,vincent-chase-vc-e16655-c1-eyeglasses,0,826,0.0
LA E16351,lenskart-air-la-e16351-c2-eyeglasses,0,2254,0.0
JJ E11678,john-jacobs-jj-e11678-c7-eyeglasses,0,281,0.0
VC E14032,vincent-chase-vc-e14032-c2-eyeglasses,6205,6721,0.923225710459753
VC E13787,vincent-chase-vc-e13787-c2-eyeglasses,9152,1818,5.034103410341034
LA E15851,lenskart-air-la-e15851-c2-eyeglasses,0,689,0.0
LA E14529,lenskart-air-la-e14529-c3-eyeglasses,105,2678,0.039208364451082896
VC S16734,vincent-chase-vc-s16734-c2-sunglasses,0,1221,0.0
LA E13740,lenskart-air-la-e13740-c6-eyeglasses,0,2866,0.0
JJ E14409,john-jacobs-jj-e14409-c2-eyeglasses,0,2294,0.0
VC E13499,vincent-chase-vc-e13499-c6-eyeglasses,0,6596,0.0
VC E13757,vincent-chase-vc-e13757-c3-eyeglasses,253,68,3.7205882352941178
LA E14532,lenskart-air-la-e14532-c2-eyeglasses,292,6503,0.0449023527602645
LA E11411-N,lenskart-air-la-e11411-n-fall-rim-rectgle-c-on-c2-eyeglasses,5355,1938,2.763157894736842
VC E16649,vincent-chase-vc-e16649-c3-eyeglasses,0,1358,0.0
LA E13069-W,lenskart-air-la-e13069/w-c1-eyeglasses,0,2167,0.0
JJ S12808,john-jacobs-jj-s12808-c1-sunglasses,1879,314,5.984076433121019
VC E14032,vincent-chase-vc-e14032-c4-eyeglasses,863,2520,0.34246031746031746
VC E15349,vincent-chase-vc-e15349-c3-eyeglasses,0,1680,0.0
LA E13063,lenskart-air-la-e13063-c1-eyeglasses,6476,2498,2.592473979183347
VC E16651,vincent-chase-vc-e16651-c2-eyeglasses,0,1135,0.0
LA E16204,lenskart-air-la-e16204-c1-eyeglasses,0,601,0.0
JJ S13227,john-jacobs-jj-s13227-c1-sunglasses,1921,1495,1.2849498327759197
VC E13394,vincent-chase-vc-e13394-c4-eyeglasses,8820,611,14.435351882160393
VC E14931,vincent-chase-vc-e14931-c2-eyeglasses,0,118,0.0
LA E11491,lenskart-air-la-e11491-c11-eyeglasses,0,1055,0.0
LA E15844,lenskart-air-la-e15844-c1-eyeglasses,0,4524,0.0
VC E16653,vincent-chase-vc-e16653-c2-eyeglasses,0,620,0.0
LA E16206,lenskart-air-la-e16206-c2-eyeglasses,0,295,0.0
JJ E16115,john-jacobs-jj-e16115-c1-eyeglasses,0,1138,0.0
VC E14319,vincent-chase-vc-e14319-c2-eyeglasses,761,5480,0.13886861313868612
VC S14457,vincent-chase-vc-s14457-c2-sunglasses,213,958,0.22233820459290188
LA E15324,lenskart-air-la-e15324-c2-eyeglasses,0,1303,0.0
VC E16666,vincent-chase-vc-e16666-c2-eyeglasses,0,257,0.0
LA E16205,lenskart-air-la-e16205-c1-eyeglasses,0,1123,0.0
JJ E12610,john-jacobs-rimless-jj-e12565-c3-eyeglasses,4095,1378,2.9716981132075473
VC E13789,vincent-chase-vc-e13789-c1-eyeglasses,11647,774,15.04780361757106
LA E12852,lenskart-air-la-e12852-c4-eyeglasses,0,482,0.0
LA E11478,lenskart-air-la-e11478-c1-eyeglasses,5690,2791,2.0386958079541384
VC E16652,vincent-chase-vc-e16652-c2-eyeglasses,0,1356,0.0
LA E13069-N,lenskart-air-la-e13069/n-c1-eyeglasses,0,1880,0.0
JJ E14412,john-jacobs-jj-e14412-c1-eyeglasses,0,416,0.0
VC E13400,vincent-chase-vc-e13400-c1-eyeglasses,1428,1385,1.0310469314079422
VC E14936,vincent-chase-vc-e14936-c2-eyeglasses,0,1292,0.0
LA E15018,lenskart-air-la-e15018-c3-eyeglasses,0,6781,0.0
VC E16461,vincent-chase-vc-e16461-c1-eyeglasses,0,540,0.0
LA E16643,lenskart-air-la-e16643-c2-eyeglasses,0,1089,0.0
VC E16038,vincent-chase-vc-e16006-c1-eyeglasses,0,2114,0.0
VC E13752,vincent-chase-vc-e13752-c1-eyeglasses,6797,1835,3.7040871934604906
LA E15017,lenskart-air-la-e15017-c2-eyeglasses,0,1921,0.0
LA E14835,lenskart-air-la-e14835-c2-eyeglasses,0,1886,0.0
VC S16614,vincent-chase-vc-s16614-c1-sunglasses,0,272,0.0
LA E16647,lenskart-air-la-e16647-c2-eyeglasses,0,1345,0.0
JJ E14408,john-jacobs-jj-e14408-c2-eyeglasses,0,512,0.0
VC E14107,vincent-chase-vc-e14107-c2-c2-eyeglasses,3039,1964,1.5473523421588595
VC E15481,vincent-chase-vc-e15481-c2-eyeglasses,0,1352,0.0
LA E12852,lenskart-air-la-e12852-c5-eyeglasses,0,626,0.0
LA E14198,lenskart-air-la-e14198-c4-eyeglasses,0,248,0.0
VC S16544,vincent-chase-vc-s16544-c2-sunglasses,0,1072,0.0
LA E16641,lenskart-air-la-e16641-c2-eyeglasses,0,397,0.0
